rank,block_idx,rouge_l,rouge_l_delta
1,14,0.19147565663802388,-0.007159284703699559
2,26,0.19241830317955558,-0.006216638162167859
3,19,0.19310077346371363,-0.00553416787800981
4,28,0.1940473258752186,-0.004587615466504824
5,31,0.19439869698286982,-0.004236244358853614
6,18,0.1951142794699784,-0.0035206618717450455
7,2,0.19544185470790826,-0.0031930866338151787
8,23,0.1957523505181627,-0.002882590823560738
9,11,0.19580528160651314,-0.0028296597352102937
10,24,0.1958694133566854,-0.002765527985038041
11,22,0.19601364577981722,-0.0026212955619062117
12,3,0.19645279318001027,-0.0021821481617131655
13,25,0.19653426164282128,-0.0021006796989021526
14,8,0.19679381718328587,-0.0018411241584375682
15,0,0.19692798700144953,-0.001706954340273903
16,4,0.19780957749180578,-0.0008253638499176597
17,27,0.1980926246394561,-0.0005423167022673425
18,16,0.19865979166556832,2.4850323844888278e-05
19,29,0.19875920502008743,0.00012426367836398944
20,5,0.19884066544616613,0.00020572410444269495
21,12,0.19956662637570766,0.0009316850339842198
22,7,0.1999273817050543,0.0012924403633308712
23,15,0.1999819053658366,0.001346964024113162
24,30,0.20016410357751535,0.0015291622357919143
25,9,0.20019173928611073,0.0015567979443872892
26,6,0.20040044985181443,0.0017655085100909962
27,1,0.20188671544753217,0.0032517741058087357
28,21,0.20223342235038844,0.003598481008665
29,20,0.20324749557602578,0.004612554234302346
30,13,0.20368567425673512,0.00505073291501168
31,17,0.20564558531325544,0.007010643971532005
32,10,0.20601297193894727,0.007378030597223834
